processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
BCAHF125-19	Herp36	10280903	NHMW H39992:1	Herp36	Naturhistorisches Museum Wien		BOLD:AAF8183	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	190967	Emydinae	190983	Emys	190985	Emys orbicularis			Stephan Koblmueller		LINNAEUS 1758					NHM Wien																							Austria	Lower Austria	Lobau		St. Josef									
BENT022-08	BR_CM_56	967781		56	American Museum of Natural History		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas					LINNAEUS 1758												A	F	S				FAO-27										United Kingdom		Ascension Island											
BENT117-08	BR_Ge_CD_1	967876	MVZ:228414		California Academy of Sciences		BOLD:AAR5487	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	164068	Cyclemys	190978	Cyclemys dentata					GRAY 1831																																									
BENT149-08	BR_Ch_HM_28	967908		Hydromedusa_maximiliani_28	American Museum of Natural History		BOLD:AAX2693	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757243	Hydromedusinae	171543	Hydromedusa	191015	Hydromedusa maximiliani			Bill Mccord		MIKAN 1820														S																											
BENT150-08	BR_Te_IT_1	967909	AMNH:AMCC:142999		American Museum of Natural History		BOLD:AAF2785	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			78992	Indotestudo	364287	Indotestudo travancorica					BOULENGER 1907																												India													
BENT170-08	BR_Ge_PT1_1	967929	AMNH:AMCC:166665		American Museum of Natural History		BOLD:AAX2621	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191045	Pangshura	191047	Pangshura tecta																																														
BENT203-08	BR_Em_TSV_19a	967962		Trachemys_venusta_19a	American Museum of Natural History		BOLD:ABX5198	18	Chordata	76	Reptilia	384	Testudines	1115	Emydidae	191002	Deirochelyinae	80310	Trachemys	279937	Trachemys venusta			Bill Mccord																S																											
BENT222-09	BR_Ch_Ebr_18	1218501		Elseya_branderhorstii_18	American Museum of Natural History		BOLD:AAI9276	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171559	Elseya	253589	Elseya branderhorsti			Bill Mccord																																											
CMMX019-20	18_CBGIPN_FC_1011	12515450		NC1011	Instituto Politecnico Nacional, Centro de Biotecnologia Genomica		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas			Miguel Angel Reyes Lopez	Taxonomy	LINNAEUS 1758			Sking Biopsy		Avelino Angulo Angulo			Morning			Skin biopsy	Juvenil		S	Marino/terrestre.					25.0785	-108.199	Gloogle Maps						Mexico	Sinaloa	Costa Azul	Sinaloa	Planicie Costera									
CYTC2653-12	NC_016681	2476958		NC_016681	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	5702	Mauremys	29445	Mauremys reevesii																								Mauremys reevesii																						
